Time kdamond
1715049342 90000
1715049343 89100
1715049344 89100
1715049345 89100
1715049346 90000
1715049348 90000
1715049349 93000
1715049350 99000
1715049351 100000
1715049352 96000
1715049353 91000
1715049355 90000
1715049356 90000
1715049357 90000
1715049358 90000
1715049359 90000
1715049361 90000
1715049362 90000
1715049363 90000
1715049364 90000
1715049365 90000
1715049367 90000
1715049368 90000
1715049369 90000
1715049370 90000
1715049371 89100
1715049373 90000
1715049374 90000
1715049375 89100
1715049376 9000
1715049377 59000
1715049379 90000
1715049380 90000
1715049381 89000
1715049382 90000
1715049383 90000
1715049384 90000
1715049386 90000
1715049387 90000
1715049388 90000
1715049389 90000
1715049390 90000
1715049392 90000
1715049393 90000
1715049394 90000
1715049395 92000
1715049396 96000
1715049398 99000
1715049399 94000
1715049400 90000
1715049401 90000
1715049402 90000
1715049404 90000
1715049405 90000
1715049406 90000
1715049407 90000
1715049408 90000
1715049409 90000
1715049411 91000
1715049412 90000
1715049413 90000
1715049414 93000
1715049415 100000
1715049417 94000
1715049418 89100
1715049419 90000
1715049420 89100
1715049421 89100
1715049423 90000
1715049424 90000
1715049425 90000
1715049426 90000
1715049427 90000
1715049429 90000
1715049430 90000
1715049431 90000
1715049432 90000
1715049433 90000
1715049434 90000
1715049436 90000
1715049437 90000
1715049438 94000
1715049439 100000
1715049440 98000
1715049442 92000
1715049443 89100
1715049444 89100
1715049445 89100
1715049446 90100
1715049448 89100
1715049449 89100
1715049450 90000
1715049451 90000
1715049452 90000
1715049453 90000
1715049455 90000
1715049456 90000
1715049457 90000
1715049458 97000
1715049459 94000
1715049461 89100
1715049462 89100
1715049463 90000
1715049464 90000
1715049465 90000
1715049467 90000
1715049468 90000
1715049469 89100
1715049470 90000
1715049471 90000
1715049473 92000
1715049474 98000
1715049475 90000
1715049476 59000
1715049477 29000
1715049478 90000
1715049480 89100
1715049481 89100
1715049482 89100
1715049483 90000
1715049484 90000
1715049486 90000
1715049487 90000
1715049488 90000
1715049489 90000
1715049490 90000
1715049492 92100
1715049493 100000
1715049494 96000
1715049495 90000
1715049496 90000
1715049498 90000
1715049499 90000
1715049500 90000
1715049501 90000
1715049502 90000
1715049504 90000
1715049505 89100
1715049506 90000
1715049507 89100
1715049508 90000
1715049509 90000
1715049511 90000
1715049512 90000
1715049513 90000
1715049514 89100
1715049515 93100
1715049517 100000
1715049518 98000
1715049519 93000
1715049520 90000
